timestamp,level,A_in,A_out,velocity
1,4,30,28,0.0833333333333333
2,4.08333333333333,99,83,0.307035332203119
3,4.39036866553645,1,70,-0.312196418680786
4,4.07817224685566,17,67,-0.171236810579776
5,3.90693543627588,2,54,-0.206369427757039
6,3.70056600851884,68,28,0.345754076750736
7,4.04632008526958,87,65,0.306048362561803
8,4.35236844783138,63,17,0.343179813951169
9,4.69554826178255,57,61,0.0849285767651602
10,4.78047683854771,0,7,-0.0343899418395771
11,4.74608689670813,57,43,0.170057988495489
12,4.91614488520362,41,60,-0.0285433429147881
13,4.88760154228883,40,11,0.21159413032751
14,5.09919567261634,80,10,0.481465481812682
15,5.58066115442902,35,39,0.0159030759987787
16,5.5965642304278,87,40,0.356499930697631
17,5.95306416112543,14,46,-0.176129283974203
18,5.77693487715123,82,4,0.52376307986256
19,6.30069795701379,72,82,-0.0210223321196822
20,6.27967562489411,74,31,0.304385950438502
21,6.58406157533261,21,95,-0.459270069002473
22,6.12479150633014,8,56,-0.281757685653529
23,5.84303382067661,43,61,-0.0656560927381124
24,5.7773777279385,95,59,0.295485623160988
25,6.07286335109949,53,20,0.234413668703121
26,6.30727701980261,92,70,0.185304325471173
27,6.49258134527378,1,90,-0.555369476156517
28,5.93721186911726,21,16,0.046461987891823
29,5.98367385700908,66,9,0.387075330131313
30,6.37074918714039,51,37,0.112095223550645
31,6.48284441069104,37,62,-0.140093984567207
32,6.34275042612383,47,35,0.0984393576990602
33,6.44118978382289,51,61,-0.0387505407220766
34,6.40243924310081,33,66,-0.188003963068681
35,6.21443528003213,80,10,0.472848922462753
36,6.68728420249488,53,51,0.028017965367947
37,6.71530216786283,56,59,-0.00413501116275683
38,6.71116715670007,46,56,-0.0514512458505993
39,6.65971591084947,42,91,-0.298755155497679
40,6.36096075535179,22,20,0.0236129188774526
41,6.38457367422924,17,46,-0.170455483986287
42,6.21411819024295,54,94,-0.208532073091365
43,6.00558611715159,47,88,-0.205573594831451
44,5.80001252232014,86,91,0.0506872903352332
45,5.85069981265537,32,68,-0.179811438887587
46,5.67088837376778,55,62,0.0166803709433537
47,5.68756874471113,63,85,-0.060908827303347
48,5.62665991740778,67,96,-0.0919730955052532
49,5.53468682190253,63,3,0.403382316408081
50,5.93806913831061,24,38,-0.0621769626685664
51,5.87589217564204,47,27,0.156721934725235
52,6.03261411036728,96,8,0.592667757580839
53,6.62528186794812,98,1,0.646996929288859
54,7.27227879723698,1,21,-0.135400015812628
55,7.13687878142435,0,89,-0.59431053093864
56,6.54256825048571,50,31,0.138669090502819
57,6.68123734098853,75,4,0.474501532341823
58,7.15573887333035,66,25,0.272752657495176
59,7.42849153082553,49,49,-0.00969726701407354
60,7.41879426381146,76,35,0.266621405939345
61,7.68541566975081,42,84,-0.310111607894843
62,7.37530406185597,88,50,0.245123750121234
63,7.6204278119772,55,14,0.268878459657334
64,7.88930627163453,21,67,-0.339049767020821
65,7.55025650461371,100,100,-0.0274465080813919
66,7.52280999653232,26,98,-0.50521359254113
67,7.01759640399119,3,70,-0.441976264830766
68,6.57562013916042,47,4,0.288124152523446
69,6.86374429168387,82,93,-0.057618697957596
70,6.80612559372627,98,39,0.401428833612373
71,7.20755442733864,100,37,0.417899881725104
72,7.62545430906374,19,78,-0.418396912833403
73,7.20705739623034,99,35,0.424691298533275
74,7.63174869476362,93,7,0.571056679070875
75,8.2028053738345,20,13,0.037941501222351
76,8.24074687505685,74,63,0.0296381401517638
77,8.27038501520861,55,2,0.351911270978412
78,8.62229628618702,44,66,-0.207072080627634
79,8.41522420555939,35,24,0.0542352567724809
80,8.46945946233187,32,27,0.0109980962635909
81,8.48045755859546,94,98,-0.108359282378948
82,8.37209827621651,64,26,0.233297003352334
83,8.60539527956884,48,63,-0.157049797444035
84,8.44834548212481,50,7,0.280961720423752
85,8.72930720254856,99,7,0.606499606299729
86,9.33580680884829,42,90,-0.438191420338022
87,8.89761538851027,35,99,-0.532719004451495
88,8.36489638405878,86,94,-0.125377188121135
89,8.23951919593765,9,34,-0.190223583883409
90,8.04929561205424,15,63,-0.35652725864296
91,7.69276835341128,56,55,-0.0132990316712053
92,7.67946932174007,92,17,0.493968454690897
93,8.17343777643097,7,32,-0.187587474080438
94,7.98585030235053,47,5,0.277291515226864
95,8.26314181757739,79,74,-0.0189675574587315
96,8.24417426011866,28,27,-0.012114406979225
97,8.23205985313944,54,8,0.30115906634012
98,8.53321891947956,97,9,0.578890051578872
99,9.11210897105843,8,20,-0.103812531442597
100,9.00829643961583,29,98,-0.571040951246999
101,8.43725548836883,58,98,-0.345905154508321
102,8.09135033386051,18,60,-0.316296571076534
103,7.77505376278398,29,58,-0.217324176985541
104,7.55772958579844,79,38,0.262726149609869
105,7.82045573540831,83,64,0.0984162669806165
106,7.91887200238893,79,34,0.282957338956665
107,8.2018293413456,13,43,-0.228835337037846
108,7.97299400430775,68,46,0.122104883914922
109,8.09509888822267,68,5,0.416964100279892
110,8.51206298850256,70,43,0.143369787469777
111,8.65543277597234,96,77,0.0547348881767044
